entity_id,source,source_row,move_group_id,move_group_columns_read,move_group_values,move_group_rule,wave_id,wave_columns_read,wave_values,wave_rule
import_0705e40e-dd07-5423-b3ca-e8cea03e8c1c,discovery_tool_export.zip/full_exports_server_inventory.csv,2,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,discovery_tool_export.zip/full_exports_server_inventory.csv,3,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_3e51316c-c467-5519-b24b-939f6f02b8d7,discovery_tool_export.zip/full_exports_server_inventory.csv,4,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_44784c54-26eb-5f62-98a6-b1770a879c26,discovery_tool_export.zip/full_exports_server_inventory.csv,5,mg_000,environment,unclassified,Grouped by environment=unclassified,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_4d2ba2dd-1c65-54c9-8961-706f9bc2c716,discovery_tool_export.zip/full_exports_server_inventory.csv,6,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_7a60d1e0-995a-53c0-84e3-58df40793c90,discovery_tool_export.zip/full_exports_server_inventory.csv,7,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_99b69105-fed0-5c04-8b6a-54651a9c3e47,discovery_tool_export.zip/full_exports_server_inventory.csv,8,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_a30b55c1-0587-5029-839d-71f30905225f,discovery_tool_export.zip/full_exports_server_inventory.csv,9,mg_001,environment,unclassified,Grouped by environment=infra,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_a8961f84-8e64-5327-9ea6-a9cdcb181127,discovery_tool_export.zip/full_exports_server_inventory.csv,10,mg_000,environment,unclassified,Grouped by environment=unclassified,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_bf97cd90-d6c9-550e-9ca9-4bea1c402677,discovery_tool_export.zip/full_exports_server_inventory.csv,11,mg_000,environment,unclassified,Grouped by environment=unclassified,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
import_da2c6743-6a4f-54db-9c8d-5227933d64fd,discovery_tool_export.zip/full_exports_server_inventory.csv,12,mg_001,environment,infra,Grouped by environment=infra,0,environment,infra,"Grouped by environment=infra, size constraint (max=150)"
import_e0b56d26-039f-508a-af2f-774aba6ec4f8,discovery_tool_export.zip/full_exports_server_inventory.csv,13,mg_000,environment,unclassified,Grouped by environment=unclassified,0,environment,unclassified,"Grouped by environment=unclassified, size constraint (max=150)"
