mgn:app:name,mgn:launch:nic:0:private-ip:0,mgn:server:fqdn-for-action-framework,mgn:server:tag:hostname,mgn:server:tag:vcentername,mgn:server:tag:vcenteruuid,mgn:server:tag:vmmoref,mgn:server:tag:vmname,mgn:server:tag:vmuuid,mgn:server:user-provided-id,mgn:wave:name,metadata:additional_app_ids,metadata:additional_app_names,metadata:app_name,metadata:average_cpu_utilization_percentage,metadata:average_memory_utilization_percentage,metadata:move_group_id,metadata:move_group_name,metadata:operating_system_type,metadata:peak_cpu_utilization_percentage,metadata:peak_memory_utilization_percentage,metadata:reason,metadata:total_cpu_cores,metadata:total_system_memory_mebibytes,metadata:vcenter_display_name
app_contoso_scoreboard,10.70.1.32,10.70.1.32,mq-01,,,import_0705e40e-dd07-5423-b3ca-e8cea03e8c1c,mq-01,,mq-01,Wave 0,,,Contoso Scoreboard,17.52,17.207,mg_001,Infra-MoveGroup,Linux,100.0,17.76,Assigned by compiled wave plan,2,1904,
app_contoso_scoreboard,10.70.1.51,10.70.1.51,EC2AMAZ-K9LQ97Q.WORKGROUP,,,import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,EC2AMAZ-K9LQ97Q.WORKGROUP,EC2C092C-944A-88FC-A700-62CCC761E24C,EC2AMAZ-K9LQ97Q.WORKGROUP,Wave 0,,,Contoso Scoreboard,11.127778,80.462222,mg_001,Infra-MoveGroup,Windows,100.0,91.89,Assigned by compiled wave plan,2,2007,
app_contoso_scoreboard,10.40.0.125,10.40.0.125,EC2AMAZ-HVB61P6.WORKGROUP,,,import_3e51316c-c467-5519-b24b-939f6f02b8d7,EC2AMAZ-HVB61P6.WORKGROUP,EC2B0476-7DB8-9E13-9568-10C469880EC3,EC2AMAZ-HVB61P6.WORKGROUP,Wave 0,,,Contoso Scoreboard,100.0,33.69,mg_001,Infra-MoveGroup,Windows,100.0,33.69,Assigned by compiled wave plan,2,4034,
app_project_nami,10.40.0.108,10.40.0.108,ip-10-40-0-108.ec2.internal,,,import_44784c54-26eb-5f62-98a6-b1770a879c26,ip-10-40-0-108.ec2.internal,,ip-10-40-0-108.ec2.internal,Wave 0,,,Project Nami,81.2,29.48,mg_000,Unclassified-MoveGroup,Linux,81.2,29.48,Assigned by compiled wave plan,2,1914,
app_contoso_scoreboard,10.70.1.31,10.70.1.31,cache-01,,,import_4d2ba2dd-1c65-54c9-8961-706f9bc2c716,cache-01,,cache-01,Wave 0,,,Contoso Scoreboard,20.9,17.123,mg_001,Infra-MoveGroup,Linux,100.0,17.39,Assigned by compiled wave plan,2,1904,
app_contoso_scoreboard,10.70.1.33,10.70.1.33,nfs-01,,,import_7a60d1e0-995a-53c0-84e3-58df40793c90,nfs-01,,nfs-01,Wave 0,,,Contoso Scoreboard,20.94,17.666,mg_001,Infra-MoveGroup,Linux,100.0,18.23,Assigned by compiled wave plan,2,1904,
app_contoso_scoreboard,10.70.1.41,10.70.1.41,ci-01,,,import_99b69105-fed0-5c04-8b6a-54651a9c3e47,ci-01,,ci-01,Wave 0,,,Contoso Scoreboard,20.84,39.047,mg_001,Infra-MoveGroup,Linux,97.1,39.81,Assigned by compiled wave plan,2,1904,
app_contoso_scoreboard,10.70.1.22,10.70.1.22,finance-batch-01,,,import_a30b55c1-0587-5029-839d-71f30905225f,finance-batch-01,,finance-batch-01,Wave 0,,,Contoso Scoreboard,21.82,16.978,mg_001,Infra-MoveGroup,Linux,100.0,17.76,Assigned by compiled wave plan,2,1904,
app_project_nami,10.40.10.96,10.40.10.96,ip-10-40-10-96.ec2.internal,,,import_a8961f84-8e64-5327-9ea6-a9cdcb181127,ip-10-40-10-96.ec2.internal,,ip-10-40-10-96.ec2.internal,Wave 0,,,Project Nami,91.4,34.94,mg_000,Unclassified-MoveGroup,Linux,91.4,34.94,Assigned by compiled wave plan,2,3840,
app_contoso_catalog,10.50.0.232,10.50.0.232,ip-10-50-0-232.ec2.internal,,,import_bf97cd90-d6c9-550e-9ca9-4bea1c402677,ip-10-50-0-232.ec2.internal,,ip-10-50-0-232.ec2.internal,Wave 0,,,Contoso Catalog,20.34,34.923,mg_000,Unclassified-MoveGroup,Linux,100.0,40.49,Assigned by compiled wave plan,2,1904,
app_contoso_scoreboard,10.70.1.21,10.70.1.21,catalog-svc-01,,,import_da2c6743-6a4f-54db-9c8d-5227933d64fd,catalog-svc-01,,catalog-svc-01,Wave 0,,,Contoso Scoreboard,19.07,18.147,mg_001,Infra-MoveGroup,Linux,94.1,18.7,Assigned by compiled wave plan,2,1904,
app_contoso_catalog,10.50.10.208,10.50.10.208,ip-10-50-10-208.ec2.internal,,,import_e0b56d26-039f-508a-af2f-774aba6ec4f8,ip-10-50-10-208.ec2.internal,,ip-10-50-10-208.ec2.internal,Wave 0,,,Contoso Catalog,22.81,66.322,mg_000,Unclassified-MoveGroup,Linux,100.0,66.7,Assigned by compiled wave plan,2,3840,
